rep,alpha,eps,method,interval_width,coverage
2,0.6,0.25,stability,6.029318873429656,1.0
2,0.7,0.25,oracle,3.095841349972016,
2,0.7,0.25,naive,0.7706409328151356,0.0
2,0.7,0.25,fission,0.7706450142229081,0.0
2,0.7,0.25,stability,5.88897198354983,1.0
2,0.8,0.25,oracle,1.601774644125746,
2,0.8,0.25,naive,0.5066942062715996,0.0
2,0.8,0.25,fission,0.5067263024387492,1.0
2,0.8,0.25,stability,5.764577992445349,1.0
2,0.9,0.25,oracle,0.5416459202440468,
2,0.9,0.25,naive,0.25132269371014837,0.0
2,0.9,0.25,fission,0.25132303521827204,0.0
2,0.9,0.25,stability,5.652551489885042,1.0
3,0.0125,0.25,oracle,3.3933915884494437,
3,0.0125,0.25,naive,4.995410948824748,1.0
3,0.0125,0.25,fission,5.306888075245629,1.0
3,0.0125,0.25,stability,8.815036000078067,1.0
3,0.025,0.25,oracle,2.1769676392636246,
3,0.025,0.25,naive,4.482805455209894,1.0
3,0.025,0.25,fission,4.490959605168562,1.0
3,0.025,0.25,stability,8.391122661459386,1.0
3,0.05,0.25,oracle,1.9959328009030117,
3,0.05,0.25,naive,3.919927969080108,1.0
3,0.05,0.25,fission,3.9199279690801077,1.0
3,0.05,0.25,stability,7.942012015311764,1.0
3,0.075,0.25,oracle,4.54786401500244,
3,0.075,0.25,naive,3.560928683384051,0.0
3,0.075,0.25,fission,3.5764538865064854,1.0
3,0.075,0.25,stability,7.665123788587263,1.0
3,0.1,0.25,oracle,0.948596974653944,
3,0.1,0.25,naive,3.2897072539029444,1.0
3,0.1,0.25,fission,3.2897074670679403,1.0
3,0.1,0.25,stability,7.4616994258432126,1.0
3,0.2,0.25,oracle,0.1416517261125529,
3,0.2,0.25,naive,2.5631031310892007,1.0
3,0.2,0.25,fission,2.5631288988037277,1.0
3,0.2,0.25,stability,6.944924919738268,1.0
3,0.3,0.25,oracle,3.713770752489876,
3,0.3,0.25,naive,2.0728667789875797,0.0
3,0.3,0.25,fission,2.0838761821730047,0.0
3,0.3,0.25,stability,6.622525464336059,1.0
3,0.4,0.25,oracle,2.482911887686856,
3,0.4,0.25,naive,1.6832424671458286,0.0
3,0.4,0.25,fission,1.683242467147521,0.0
3,0.4,0.25,stability,6.383312526783014,1.0
3,0.5,0.25,oracle,0.36026877338424185,
3,0.5,0.25,naive,1.3489795003921634,1.0
3,0.5,0.25,fission,1.3490162722105694,1.0
3,0.5,0.25,stability,6.191094146901953,1.0
3,0.6,0.25,oracle,0.2007081182348118,
3,0.6,0.25,naive,1.0488010254160813,1.0
3,0.6,0.25,fission,1.0504840395709198,0.0
3,0.6,0.25,stability,6.029318873429656,1.0
3,0.7,0.25,oracle,1.3233982511733016,
3,0.7,0.25,naive,0.7706409328151353,0.0
3,0.7,0.25,fission,0.7715687665013876,1.0
3,0.7,0.25,stability,5.888971983549831,1.0
3,0.8,0.25,oracle,1.333996311926145,
3,0.8,0.25,naive,0.5066942062715996,0.0
3,0.8,0.25,fission,0.5069091115155384,1.0
3,0.8,0.25,stability,5.764577992445349,1.0
3,0.9,0.25,oracle,2.0717637859457114,
3,0.9,0.25,naive,0.25132269371014837,0.0
3,0.9,0.25,fission,0.2513271710750906,0.0
3,0.9,0.25,stability,5.652551489885042,1.0
4,0.0125,0.25,oracle,2.0414958820421982,
4,0.0125,0.25,naive,4.995410948824748,1.0
4,0.0125,0.25,fission,4.99547003686593,1.0
4,0.0125,0.25,stability,8.815036000078067,1.0
4,0.025,0.25,oracle,3.338955099223554,
4,0.025,0.25,naive,4.482805455209894,1.0
4,0.025,0.25,fission,4.509137513132692,1.0
4,0.025,0.25,stability,8.391122661459386,1.0
4,0.05,0.25,oracle,1.5695234128235074,
4,0.05,0.25,naive,3.919927969080108,1.0
4,0.05,0.25,fission,3.9203586131827026,1.0
4,0.05,0.25,stability,7.942012015311764,1.0
4,0.075,0.25,oracle,0.5002270872203972,
4,0.075,0.25,naive,3.560928683384051,1.0
4,0.075,0.25,fission,3.566016746418145,1.0
4,0.075,0.25,stability,7.665123788587264,1.0
4,0.1,0.25,oracle,0.23641282358773824,
4,0.1,0.25,naive,3.2897072539029444,1.0
4,0.1,0.25,fission,3.289709961596263,1.0
4,0.1,0.25,stability,7.4616994258432126,1.0
4,0.2,0.25,oracle,3.5274607661527506,
4,0.2,0.25,naive,2.5631031310892007,0.0
4,0.2,0.25,fission,2.563103137172059,1.0
4,0.2,0.25,stability,6.944924919738268,1.0
4,0.3,0.25,oracle,0.17766495737224453,
4,0.3,0.25,naive,2.0728667789875797,1.0
4,0.3,0.25,fission,2.0746309462919763,1.0
4,0.3,0.25,stability,6.622525464336059,1.0
4,0.4,0.25,oracle,0.0003173369491582768,
4,0.4,0.25,naive,1.6832424671458286,1.0
4,0.4,0.25,fission,1.683242467468728,1.0
4,0.4,0.25,stability,6.383312526783014,1.0
4,0.5,0.25,oracle,1.1731710890227556,
4,0.5,0.25,naive,1.3489795003921634,1.0
4,0.5,0.25,fission,1.3489824895177795,1.0
4,0.5,0.25,stability,6.191094146901953,1.0
4,0.6,0.25,oracle,1.1731710890227556,
4,0.6,0.25,naive,1.0488010254160813,0.0
4,0.6,0.25,fission,1.0488010513335324,1.0
4,0.6,0.25,stability,6.029318873429656,1.0
4,0.7,0.25,oracle,3.5136501927494295,
4,0.7,0.25,naive,0.7706409328151353,0.0
4,0.7,0.25,fission,0.7731688713439405,0.0
4,0.7,0.25,stability,5.888971983549831,1.0
4,0.8,0.25,oracle,3.3264677022987468,
4,0.8,0.25,naive,0.5066942062715993,0.0
4,0.8,0.25,fission,0.5066947327190924,0.0
4,0.8,0.25,stability,5.764577992445349,1.0
4,0.9,0.25,oracle,2.4966919473264735,
4,0.9,0.25,naive,0.2513226937101485,0.0
4,0.9,0.25,fission,0.25132896697625506,0.0
4,0.9,0.25,stability,5.652551489885042,1.0
5,0.0125,0.25,oracle,3.624389118720117,
5,0.0125,0.25,naive,4.995410948824748,1.0
5,0.0125,0.25,fission,5.021462134594602,1.0
5,0.0125,0.25,stability,8.815036000078067,1.0
5,0.025,0.25,oracle,3.1097067003419845,
5,0.025,0.25,naive,4.482805455209894,1.0
5,0.025,0.25,fission,4.483577578222659,1.0
5,0.025,0.25,stability,8.391122661459386,1.0
5,0.05,0.25,oracle,0.052637651149770495,
5,0.05,0.25,naive,3.919927969080108,1.0
5,0.05,0.25,fission,3.9199280915446773,1.0
5,0.05,0.25,stability,7.942012015311764,1.0
5,0.075,0.25,oracle,1.1945486476633262,
5,0.075,0.25,naive,3.560928683384051,1.0
5,0.075,0.25,fission,3.5626132535329895,1.0
5,0.075,0.25,stability,7.665123788587263,1.0
5,0.1,0.25,oracle,0.9242672979189088,
5,0.1,0.25,naive,3.2897072539029444,1.0
5,0.1,0.25,fission,3.2897075855176032,1.0
5,0.1,0.25,stability,7.4616994258432126,1.0
5,0.2,0.25,oracle,2.103247909838884,
5,0.2,0.25,naive,2.5631031310892007,1.0
5,0.2,0.25,fission,2.5631031310892096,1.0
5,0.2,0.25,stability,6.944924919738268,1.0
5,0.3,0.25,oracle,3.3863313752232345,
5,0.3,0.25,naive,2.0728667789875797,0.0
5,0.3,0.25,fission,2.072869645065641,1.0
5,0.3,0.25,stability,6.622525464336059,1.0
5,0.4,0.25,oracle,0.6574438850451614,
5,0.4,0.25,naive,1.6832424671458286,1.0
5,0.4,0.25,fission,1.68357387686171,1.0
5,0.4,0.25,stability,6.383312526783014,1.0
5,0.5,0.25,oracle,3.2050339174110665,
5,0.5,0.25,naive,1.3489795003921632,0.0
5,0.5,0.25,fission,1.3489796747152893,0.0
